news_headline,news_article,news_category,full_text,clean_text
"Barça held to 0-0 draw by Lyon in CL, their 4th draw in 5 matches","Barcelona were held to a scoreless draw by Lyon in the Champions League Round of 16 first leg on Tuesday. Barcelona, who failed to score despite 25 shots in the match, have been held to a draw in four of their last five matches across competitions. Elsewhere, Liverpool and Bayern Munich also played out a goalless draw. ",sports,"Barça held to 0-0 draw by Lyon in CL, their 4th draw in 5 matches. Barcelona were held to a scoreless draw by Lyon in the Champions League Round of 16 first leg on Tuesday. Barcelona, who failed to score despite 25 shots in the match, have been held to a draw in four of their last five matches across competitions. Elsewhere, Liverpool and Bayern Munich also played out a goalless draw. ",barca hold draw lyon cl th draw match barcelona hold scoreless draw lyon champion league round first leg tuesday barcelona fail score despite shot match hold draw four last five match across competition elsewhere liverpool bayern munich also play goalless draw
SC asks CoA's Rai and Edulji to not go public over differences,"The Supreme Court today pulled up CoA members Vinod Rai and Diana Edulji for their public stand-offs. ""We've heard in newspaper reports that some sparring is going on between CoA members...Nobody should bring it in the public domain,"" the bench comprising Justices SA Bobde and AM Sapre said. The court added a third member will be added to the CoA. ",sports,"SC asks CoA's Rai and Edulji to not go public over differences. The Supreme Court today pulled up CoA members Vinod Rai and Diana Edulji for their public stand-offs. ""We've heard in newspaper reports that some sparring is going on between CoA members...Nobody should bring it in the public domain,"" the bench comprising Justices SA Bobde and AM Sapre said. The court added a third member will be added to the CoA. ",sc ask coas rai edulji not go public difference supreme court today pull coa member vinod rai diana edulji public stand hear newspaper report sparring go coa member nobody bring public domain bench comprise justice sa bobde sapre say court add third member add coa
"Chris Gayle scores 10 off 34 balls, completes 100 off 100 balls","Windies' opener Chris Gayle, who scored 10 runs off 34 balls, reached his hundred off just 100 balls in the first ODI against England on Wednesday. The 39-year-old has smashed nine sixes and three fours in the match so far. Gayle, who has slammed most ODI hundreds by a Windies player, has now hit 24 tons in the format.",sports,"Chris Gayle scores 10 off 34 balls, completes 100 off 100 balls. Windies' opener Chris Gayle, who scored 10 runs off 34 balls, reached his hundred off just 100 balls in the first ODI against England on Wednesday. The 39-year-old has smashed nine sixes and three fours in the match so far. Gayle, who has slammed most ODI hundreds by a Windies player, has now hit 24 tons in the format.",chris gayle score ball complete ball windie opener chris gayle score run ball reach hundred ball first odi england wednesday year old smash nine six three four match far gayle slam odi hundred windie player hit ton format
BCCI reserves right regarding participation in World Cup: Treasurer,"BCCI Treasurer Anirudh Chaudhry has said that the BCCI hasn't signed the Members Participation Agreement (MPA) yet and that gave the board the right to decide on whether India will play against Pakistan in the World Cup. ""BCCI reserves all its rights...regarding its participation in any other multi-nation tournament or games not covered by the MPA,"" he added.",sports,"BCCI reserves right regarding participation in World Cup: Treasurer. BCCI Treasurer Anirudh Chaudhry has said that the BCCI hasn't signed the Members Participation Agreement (MPA) yet and that gave the board the right to decide on whether India will play against Pakistan in the World Cup. ""BCCI reserves all its rights...regarding its participation in any other multi-nation tournament or games not covered by the MPA,"" he added.",bcci reserve right regard participation world cup treasurer bcci treasurer anirudh chaudhry say bcci not sign member participation agreement mpa yet give board right decide whether india play pakistan world cup bcci reserve right regard participation multi nation tournament game not cover mpa add
Chris Gayle smashes 10+ sixes in an ODI innings for record 3rd time,"Windies opener Chris Gayle smashed 12 sixes in his 135-run knock in the first ODI against England on Wednesday, becoming the first batsman to slam 10-plus sixes in an ODI on three different instances. The 39-year-old had smashed 11 sixes against UAE in March last year and had slammed 16 sixes against Zimbabwe in a World Cup match in 2015.",sports,"Chris Gayle smashes 10+ sixes in an ODI innings for record 3rd time. Windies opener Chris Gayle smashed 12 sixes in his 135-run knock in the first ODI against England on Wednesday, becoming the first batsman to slam 10-plus sixes in an ODI on three different instances. The 39-year-old had smashed 11 sixes against UAE in March last year and had slammed 16 sixes against Zimbabwe in a World Cup match in 2015.",chris gayle smash six odi inning record rd time windie opener chris gayle smash six run knock first odi england wednesday become first batsman slam plus six odi three different instance year old smash six uae march last year slam six zimbabwe world cup match
"Mass crash damages 21 cars during race, drivers escape uninjured","As many as 21 cars were damaged in a mass crash during the Daytona 500 NASCAR motor race. The race had 10 of its 200 laps left when a racer turned his opponent's car, which slammed into the wall and began to spin. The 21-car accident led to sparks flying and debris littering the track, however, all drivers escaped uninjured. ",sports,"Mass crash damages 21 cars during race, drivers escape uninjured. As many as 21 cars were damaged in a mass crash during the Daytona 500 NASCAR motor race. The race had 10 of its 200 laps left when a racer turned his opponent's car, which slammed into the wall and began to spin. The 21-car accident led to sparks flying and debris littering the track, however, all drivers escaped uninjured. ",mass crash damage car race driver escape uninjured many car damage mass crash daytona nascar motor race race lap leave racer turn opponent car slam wall begin spin car accident lead spark fly debris litter track however driver escape uninjured
I spent two days at home crying: Brazil's Neymar on latest injury,"World’s most expensive footballer Neymar has revealed he spent two days at home crying after injuring his foot for the second time in a year. ""The first time I hurt myself I said, 'It has to be fixed as quickly as possible'. I wasn't sad,"" he said. ""This time I had a tough time getting over it,"" the Brazilian added.",sports,"I spent two days at home crying: Brazil's Neymar on latest injury. World’s most expensive footballer Neymar has revealed he spent two days at home crying after injuring his foot for the second time in a year. ""The first time I hurt myself I said, 'It has to be fixed as quickly as possible'. I wasn't sad,"" he said. ""This time I had a tough time getting over it,"" the Brazilian added.",spend two day home crying brazil neymar late injury world expensive footballer neymar reveal spend two day home cry injure foot second time year first time hurt say fix quickly possible not sad say time tough time get brazilian add
2015 WC humiliation best thing to happen to English cricket: Swann,"Ex-England off-spinner Graeme Swann has said being humiliated at 2015 World Cup was the best thing to happen to English cricket. ""We were slaughtered by teams we should have been equal to,"" he added. ""Eoin Morgan has taken the team by the scruff of the neck and we've been exceptional ever since,"" he further said.",sports,"2015 WC humiliation best thing to happen to English cricket: Swann. Ex-England off-spinner Graeme Swann has said being humiliated at 2015 World Cup was the best thing to happen to English cricket. ""We were slaughtered by teams we should have been equal to,"" he added. ""Eoin Morgan has taken the team by the scruff of the neck and we've been exceptional ever since,"" he further said.",wc humiliation good thing happen english cricket swann ex england spinner graeme swann say humiliate world cup good thing happen english cricket slaughter team equal add eoin morgan take team scruff neck exceptional ever since say
"Not just sports, India should cut all ties with Pakistan: Ganguly","In the wake of Pulwama attack, ex-India captain Sourav Ganguly said that India should not only just stop playing cricket, hockey, or football with Pakistan but should cut all ties with them. Adding that India should send a strong message, Ganguly said, ""I feel if India doesn't play a match in the World Cup, it won't be an issue.""",sports,"Not just sports, India should cut all ties with Pakistan: Ganguly. In the wake of Pulwama attack, ex-India captain Sourav Ganguly said that India should not only just stop playing cricket, hockey, or football with Pakistan but should cut all ties with them. Adding that India should send a strong message, Ganguly said, ""I feel if India doesn't play a match in the World Cup, it won't be an issue.""",not sport india cut tie pakistan ganguly wake pulwama attack ex india captain sourav ganguly say india not stop play cricket hockey football pakistan cut tie add india send strong message ganguly say feel india not play match world cup not issue
What mystery? Sab bakwas hai: Kuldeep on 'mystery bowler' tag,"Talking about being called a mystery spinner, India Chinaman bowler Kuldeep Yadav said, ""What mystery? Sab bakwas hai (Everything is rubbish)."" ""I'm using same weapons like Ash bhai (Ravichandran Ashwin)— flight, drip, drift and turn— only that I'm a wrist spinner and he's a finger spinner,"" he added. Notably, the 24-year-old has taken 77 wickets in 39 ODIs so far.",sports,"What mystery? Sab bakwas hai: Kuldeep on 'mystery bowler' tag. Talking about being called a mystery spinner, India Chinaman bowler Kuldeep Yadav said, ""What mystery? Sab bakwas hai (Everything is rubbish)."" ""I'm using same weapons like Ash bhai (Ravichandran Ashwin)— flight, drip, drift and turn— only that I'm a wrist spinner and he's a finger spinner,"" he added. Notably, the 24-year-old has taken 77 wickets in 39 ODIs so far.",mystery sab bakwas hai kuldeep mystery bowler tag talk call mystery spinner india chinaman bowler kuldeep yadav say mystery sab bakwas hai everything rubbish use weapon like ash bhai ravichandran ashwin flight drip drift turn wrist spinner finger spinner add notably year old take wicket odi far
Gayle breaks Afridi's record of most sixes in international cricket,"Windies' opener Chris Gayle smashed his 477th six in international cricket during the first ODI against England today, breaking ex-Pakistan captain Shahid Afridi's record of hitting most sixes in international cricket. Gayle achieved the feat in his 514th international innings. The 39-year-old has slammed 103 sixes in T20Is, 276 in ODIs and 98 in Test cricket.",sports,"Gayle breaks Afridi's record of most sixes in international cricket. Windies' opener Chris Gayle smashed his 477th six in international cricket during the first ODI against England today, breaking ex-Pakistan captain Shahid Afridi's record of hitting most sixes in international cricket. Gayle achieved the feat in his 514th international innings. The 39-year-old has slammed 103 sixes in T20Is, 276 in ODIs and 98 in Test cricket.",gayle break afridis record six international cricket windie opener chris gayle smash th six international cricket first odi england today break ex pakistan captain shahid afridis record hit six international cricket gayle achieve feat th international inning year old slam six tis odi test cricket
England register ODI cricket history’s 3rd highest successful chase,"England chased down the target of 361 against Windies in the first ODI on Wednesday to register the overall third highest successful ODI run chase and their highest successful ODI run chase. The match witnessed Windies smash 23 sixes, the most by a team in an ODI. England opener Jason Roy was named Man of the Match for his 123(85).",sports,"England register ODI cricket history’s 3rd highest successful chase. England chased down the target of 361 against Windies in the first ODI on Wednesday to register the overall third highest successful ODI run chase and their highest successful ODI run chase. The match witnessed Windies smash 23 sixes, the most by a team in an ODI. England opener Jason Roy was named Man of the Match for his 123(85).",england register odi cricket history rd high successful chase england chase target windie first odi wednesday register overall third high successful odi run chase high successful odi run chase match witness windie smash six team odi england opener jason roy name man match
"Pandya ruled out of T20I, ODI series vs Australia due to back issue","Hardik Pandya has been ruled out of India's upcoming T20I and ODI series against Australia due to lower back stiffness, the BCCI said. The 25-year-old all-rounder will undergo strength and conditioning training at the National Cricket Academy in Bengaluru from next week. All-rounder Ravindra Jadeja will replace Pandya in ODI squad, while no replacements were named for T20I squad.",sports,"Pandya ruled out of T20I, ODI series vs Australia due to back issue. Hardik Pandya has been ruled out of India's upcoming T20I and ODI series against Australia due to lower back stiffness, the BCCI said. The 25-year-old all-rounder will undergo strength and conditioning training at the National Cricket Academy in Bengaluru from next week. All-rounder Ravindra Jadeja will replace Pandya in ODI squad, while no replacements were named for T20I squad.",pandya rule ti odi series vs australia due back issue hardik pandya rule india upcom ti odi series australia due lower back stiffness bcci say year old round undergo strength conditioning training national cricket academy bengaluru next week round ravindra jadeja replace pandya odi squad no replacement name ti squad
"Shreyas Iyer slams 55-ball 147, highest ever T20 score by an Indian","Mumbai's Shreyas Iyer smashed 147 runs off 55 balls against Sikkim in Syed Mushtaq Ali Trophy on Thursday to register the highest ever score by an Indian in T20 cricket. The 24-year-old slammed 15 sixes and seven fours during his knock. The previous record was set by Rishabh Pant, who slammed 128*(63) for Delhi Daredevils against SunRisers Hyderabad last year. ",sports,"Shreyas Iyer slams 55-ball 147, highest ever T20 score by an Indian. Mumbai's Shreyas Iyer smashed 147 runs off 55 balls against Sikkim in Syed Mushtaq Ali Trophy on Thursday to register the highest ever score by an Indian in T20 cricket. The 24-year-old slammed 15 sixes and seven fours during his knock. The previous record was set by Rishabh Pant, who slammed 128*(63) for Delhi Daredevils against SunRisers Hyderabad last year. ",shreyas iyer slam ball high ever score indian mumbais shreya iyer smash run ball sikkim syed mushtaq ali trophy thursday register high ever score indian cricket year old slam six seven four knock previous record set rishabh pant slam delhi daredevil sunriser hyderabad last year
Supreme Court appoints Lt General Ravi Thodge as 3rd member of CoA,"The Supreme Court today appointed Indian Army's former Master-General of Ordnance (MGO), Lt General Ravi Thodge as the third member of the Vinod Rai-led Committee of Administrators, which is overseeing BCCI's affairs. CoA initially had four members but after the resignation of historian Ramachandra Guha and National Stock Exchange CEO Vikram Limaye, only two members were left in CoA. ",sports,"Supreme Court appoints Lt General Ravi Thodge as 3rd member of CoA. The Supreme Court today appointed Indian Army's former Master-General of Ordnance (MGO), Lt General Ravi Thodge as the third member of the Vinod Rai-led Committee of Administrators, which is overseeing BCCI's affairs. CoA initially had four members but after the resignation of historian Ramachandra Guha and National Stock Exchange CEO Vikram Limaye, only two members were left in CoA. ",supreme court appoint lt general ravi thodge rd member coa supreme court today appoint indian army former master general ordnance mgo lt general ravi thodge third member vinod rai lead committee administrator oversee bccis affair coa initially four member resignation historian ramachandra guha national stock exchange ceo vikram limaye two member leave coa
Pak bans Mumbai attack mastermind Hafiz Saeed-led Jamaat-ud-Dawa,"Days after the Pulwama terror attack, Pakistan Prime Minister Imran Khan on Thursday reinstated the ban on 2008 Mumbai attack mastermind Hafiz Saeed-led organisation Jamaat-ud-Dawa and its charity wing Falah-e-Insaniat Foundation. The decision was taken at the National Security Committee (NSC) meeting at the Pakistan PM's office. Earlier, the two outfits were kept on the watchlist of Pakistan's Interior Ministry.",world,"Pak bans Mumbai attack mastermind Hafiz Saeed-led Jamaat-ud-Dawa. Days after the Pulwama terror attack, Pakistan Prime Minister Imran Khan on Thursday reinstated the ban on 2008 Mumbai attack mastermind Hafiz Saeed-led organisation Jamaat-ud-Dawa and its charity wing Falah-e-Insaniat Foundation. The decision was taken at the National Security Committee (NSC) meeting at the Pakistan PM's office. Earlier, the two outfits were kept on the watchlist of Pakistan's Interior Ministry.",pak ban mumbai attack mastermind hafiz saeed lead jamaat ud dawa day pulwama terror attack pakistan prime minister imran khan thursday reinstate ban mumbai attack mastermind hafiz saeed lead organisation jamaat ud dawa charity wing falah e insaniat foundation decision take national security committee nsc meeting pakistan pms office earlier two outfit keep watchlist pakistan interior ministry
"After $20 billion in Pakistan, Saudi to invest $100 billion in India","The Ministry of External Affairs (MEA) said Saudi Arabia will invest $100 billion in India and called it ""a huge vote of confidence in the Indian economy."" ""PM Narendra Modi welcomed Saudi Crown Prince Mohammed bin Salman's announcement to invest in areas like energy, refining and infrastructure,"" MEA said. Crown Prince arrived for a two-day visit in India on Tuesday.",world,"After $20 billion in Pakistan, Saudi to invest $100 billion in India. The Ministry of External Affairs (MEA) said Saudi Arabia will invest $100 billion in India and called it ""a huge vote of confidence in the Indian economy."" ""PM Narendra Modi welcomed Saudi Crown Prince Mohammed bin Salman's announcement to invest in areas like energy, refining and infrastructure,"" MEA said. Crown Prince arrived for a two-day visit in India on Tuesday.",billion pakistan saudi invest billion india ministry external affair mea say saudi arabia invest billion india call huge vote confidence indian economy pm narendra modi welcome saudi crown prince mohammed bin salman announcement invest area like energy refining infrastructure mea say crown prince arrive two day visit india tuesday
69 dead in fire in apartments used as chemical stores in Bangladesh,"At least 69 people have been killed in fire in apartment buildings, which were also used as chemical warehouses in Bangladesh's capital Dhaka, a fire official said. There was a traffic jam when the blast took place, due to which several people couldn't escape the buildings, where highly combustible chemicals, body sprays and plastic granules caught fire, officials added.",world,"69 dead in fire in apartments used as chemical stores in Bangladesh. At least 69 people have been killed in fire in apartment buildings, which were also used as chemical warehouses in Bangladesh's capital Dhaka, a fire official said. There was a traffic jam when the blast took place, due to which several people couldn't escape the buildings, where highly combustible chemicals, body sprays and plastic granules caught fire, officials added.",dead fire apartment use chemical store bangladesh least people kill fire apartment building also use chemical warehouse bangladeshs capital dhaka fire official say traffic jam blast take place due several people could not escape building highly combustible chemical body spray plastic granule catch fire official add
Saudi prince orders release of 850 Indian prisoners on PM's request,"On the request of Prime Minister Narendra Modi, Saudi Arabia Crown Prince Mohammed bin Salman ordered the release of 850 Indian prisoners lodged in Saudi Arabian jails. ""Another big deliverable!"" Ministry of External Affairs spokesperson Raveesh Kumar tweeted. The Saudi Crown Prince also announced the increase in quota for Indian Haj pilgrims to 2,00,000 at the request of PM Modi.",world,"Saudi prince orders release of 850 Indian prisoners on PM's request. On the request of Prime Minister Narendra Modi, Saudi Arabia Crown Prince Mohammed bin Salman ordered the release of 850 Indian prisoners lodged in Saudi Arabian jails. ""Another big deliverable!"" Ministry of External Affairs spokesperson Raveesh Kumar tweeted. The Saudi Crown Prince also announced the increase in quota for Indian Haj pilgrims to 2,00,000 at the request of PM Modi.",saudi prince order release indian prisoner pms request request prime minister narendra modi saudi arabia crown prince mohamm bin salman order release indian prisoner lodge saudi arabian jail another big deliverable ministry external affair spokesperson raveesh kumar tweet saudi crown prince also announce increase quota indian haj pilgrim request pm modi
Australian state to allow people to add emoji to licence plates,"A firm in Australia's Queensland state has announced that from March, drivers can add smiling, winking, laughing out loud, heart-eyed and sunglasses emoji to their vehicles' licence plates. The state's largest automotive organisation welcomed the digital addition. ""People support their favourite team or town with a symbol on the number plate and using an emoji is no different,"" it added.",world,"Australian state to allow people to add emoji to licence plates. A firm in Australia's Queensland state has announced that from March, drivers can add smiling, winking, laughing out loud, heart-eyed and sunglasses emoji to their vehicles' licence plates. The state's largest automotive organisation welcomed the digital addition. ""People support their favourite team or town with a symbol on the number plate and using an emoji is no different,"" it added.",australian state allow people add emoji licence plate firm australias queensland state announce march driver add smile wink laugh loud heart eyed sunglass emoji vehicle licence plate state large automotive organisation welcome digital addition people support favourite team town symbol number plate use emoji no different add
US actor arrested for staging racial attack on himself,"American drama series 'Empire' actor Jussie Smollett was arrested on Thursday after he allegedly faked a homophobic, racist attack. The 36-year-old actor, who is gay, claimed that he was physically assaulted by two apparent supporters of US President Donald Trump, who shouted homophobic and racist slurs at him. Police suspect Smollett paid two Nigerian brothers to stage the attack. ",world,"US actor arrested for staging racial attack on himself. American drama series 'Empire' actor Jussie Smollett was arrested on Thursday after he allegedly faked a homophobic, racist attack. The 36-year-old actor, who is gay, claimed that he was physically assaulted by two apparent supporters of US President Donald Trump, who shouted homophobic and racist slurs at him. Police suspect Smollett paid two Nigerian brothers to stage the attack. ",us actor arrest stag racial attack american drama series empire actor jussie smollett arrest thursday allegedly fake homophobic racist attack year old actor gay claim physically assault two apparent supporter us president donald trump shout homophobic racist slur police suspect smollett pay two nigerian brother stage attack
Pak envoy's statement on Pulwama attack irrelevant: Afghanistan,"Afghanistan has criticised Pakistani Ambassador Zahid Nasrullah over his remarks that Afghan peace talks would be affected if India retaliates over the Pulwama terror attack, calling them ""irrelevant"". Afghanistan said Nasrullah's remarks are ""in contradiction with Pakistan's commitments with regards to realising peace in Afghanistan"". The US and Taliban are taking part in the talks, aimed at ending Afghan war. ",world,"Pak envoy's statement on Pulwama attack irrelevant: Afghanistan. Afghanistan has criticised Pakistani Ambassador Zahid Nasrullah over his remarks that Afghan peace talks would be affected if India retaliates over the Pulwama terror attack, calling them ""irrelevant"". Afghanistan said Nasrullah's remarks are ""in contradiction with Pakistan's commitments with regards to realising peace in Afghanistan"". The US and Taliban are taking part in the talks, aimed at ending Afghan war. ",pak envoy statement pulwama attack irrelevant afghanistan afghanistan criticise pakistani ambassador zahid nasrullah remark afghan peace talk would affect india retaliate pulwama terror attack call irrelevant afghanistan say nasrullah remark contradiction pakistan commitment regard realise peace afghanistan us taliban take part talk aim end afghan war
"I'm Pakistani, I condemn Pulwama attack: Pak journo starts campaign","Pakistani journalist Sehyr Mirza posted her picture on Facebook, holding a placard which read, ""I am a Pakistani and I condemn Pulwama terrorist attack. #AntiHateChallenge #NoToWar"". ""I won't trade humanity for patriotism,"" she wrote. Posting pictures of many women holding similar placards on another Facebook page, she urged Pakistani citizens to express solidarity with ""Indian friends"".",world,"I'm Pakistani, I condemn Pulwama attack: Pak journo starts campaign. Pakistani journalist Sehyr Mirza posted her picture on Facebook, holding a placard which read, ""I am a Pakistani and I condemn Pulwama terrorist attack. #AntiHateChallenge #NoToWar"". ""I won't trade humanity for patriotism,"" she wrote. Posting pictures of many women holding similar placards on another Facebook page, she urged Pakistani citizens to express solidarity with ""Indian friends"".",pakistani condemn pulwama attack pak journo start campaign pakistani journalist sehyr mirza post picture facebook hold placard read pakistani condemn pulwama terrorist attack antihatechallenge notowar not trade humanity patriotism write post picture many woman hold similar placard another facebook page urge pakistani citizen express solidarity indian friend
New Zealand Parliament passes motion condemning Pulwama attack,"New Zealand's Parliament has unanimously passed a motion condemning the terror attack in Jammu and Kashmir's Pulwama. The motion was moved by New Zealand's Deputy Prime Minister Winston Peters. ""We express solidarity with the Government of India at this difficult time as well as offer our deep sympathies to those affected,"" said Peters, who is also New Zealand's Foreign Minister.",world,"New Zealand Parliament passes motion condemning Pulwama attack. New Zealand's Parliament has unanimously passed a motion condemning the terror attack in Jammu and Kashmir's Pulwama. The motion was moved by New Zealand's Deputy Prime Minister Winston Peters. ""We express solidarity with the Government of India at this difficult time as well as offer our deep sympathies to those affected,"" said Peters, who is also New Zealand's Foreign Minister.",new zealand parliament pass motion condemn pulwama attack new zealand parliament unanimously pass motion condemn terror attack jammu kashmir pulwama motion move new zealand deputy prime minister winston peter express solidarity government india difficult time well offer deep sympathy affect say peter also new zealand foreign minister
PM Modi arrives in South Korea on 2-day visit,"Prime Minister Narendra Modi arrived in South Korea on Thursday on a two-day visit. ""We regard the Republic of Korea as a valued friend with which we have a Special Strategic Partnership,"" PM Modi said ahead of his visit, adding that it will boost bilateral cooperation. PM Modi will hold his second summit with South Korean President Moon Jae-in.",world,"PM Modi arrives in South Korea on 2-day visit. Prime Minister Narendra Modi arrived in South Korea on Thursday on a two-day visit. ""We regard the Republic of Korea as a valued friend with which we have a Special Strategic Partnership,"" PM Modi said ahead of his visit, adding that it will boost bilateral cooperation. PM Modi will hold his second summit with South Korean President Moon Jae-in.",pm modi arrive south korea day visit prime minister narendra modi arrive south korea thursday two day visit regard republic korea value friend special strategic partnership pm modi say ahead visit add boost bilateral cooperation pm modi hold second summit south korean president moon jae
Humpty Dumpty has no place in ICJ: Salve to Pak on abusive language,"Responding to Pakistan's submission at ICJ, India's counsel Harish Salve said, ""A criticism of a sovereign state of the case made out of the other state must be in language consistent with the dignity of other states. Humpty Dumpty has no place in this court."" ""Transcript is peppered with words such as shameless, nonsensical, laughable and breathtaking arrogance,"" he added.",world,"Humpty Dumpty has no place in ICJ: Salve to Pak on abusive language. Responding to Pakistan's submission at ICJ, India's counsel Harish Salve said, ""A criticism of a sovereign state of the case made out of the other state must be in language consistent with the dignity of other states. Humpty Dumpty has no place in this court."" ""Transcript is peppered with words such as shameless, nonsensical, laughable and breathtaking arrogance,"" he added.",humpty dumpty no place icj salve pak abusive language respond pakistan submission icj indias counsel harish salve say criticism sovereign state case make state must language consistent dignity state humpty dumpty no place court transcript pepper word shameless nonsensical laughable breathtaking arrogance add
"Indian man shot dead in US while working at store, police arrest 3","A man from Telangana was killed in Florida, US after assailants opened fire in a departmental store where he was working as a manager. Police have arrested three people in connection with the case. The victim had reportedly left India seven years ago and his family has appealed to Indian government to arrange for his body to be brought home.",world,"Indian man shot dead in US while working at store, police arrest 3. A man from Telangana was killed in Florida, US after assailants opened fire in a departmental store where he was working as a manager. Police have arrested three people in connection with the case. The victim had reportedly left India seven years ago and his family has appealed to Indian government to arrange for his body to be brought home.",indian man shoot dead us work store police arrest man telangana kill florida us assailant open fire departmental store work manager police arrest three people connection case victim reportedly leave india seven year ago family appeal indian government arrange body bring home
"India, Saudi Arabia sign 5 MoUs/deals during Crown Prince visit","India and Saudi Arabia on Wednesday signed five Memorandums of Understanding (MoUs)/Agreements during the visit of Saudi Crown Prince Mohammed bin Salman. The MoUs were signed in the fields of tourism and housing, among others. A framework cooperation programme was also signed between the two countries to enhance bilateral investment relations.",world,"India, Saudi Arabia sign 5 MoUs/deals during Crown Prince visit. India and Saudi Arabia on Wednesday signed five Memorandums of Understanding (MoUs)/Agreements during the visit of Saudi Crown Prince Mohammed bin Salman. The MoUs were signed in the fields of tourism and housing, among others. A framework cooperation programme was also signed between the two countries to enhance bilateral investment relations.",india saudi arabia sign mous deal crown prince visit india saudi arabia wednesday sign five memorandum understanding mous agreement visit saudi crown prince mohammed bin salman mous sign field tourism housing among framework cooperation programme also sign two country enhance bilateral investment relation
PM Modi unveils bust of Mahatma Gandhi in South Korea,"Prime Minister Narendra Modi on Thursday unveiled the bust of Mahatma Gandhi at the Yonsei University in the South Korean capital Seoul. PM Modi called it a special occasion as this year marks Mahatma Gandhi's 150th birth anniversary. South Korean President Moon Jae-in, First Lady Kim Jung-sook and former UN Secretary-General Ban Ki-moon also took part in the unveiling ceremony. ",world,"PM Modi unveils bust of Mahatma Gandhi in South Korea. Prime Minister Narendra Modi on Thursday unveiled the bust of Mahatma Gandhi at the Yonsei University in the South Korean capital Seoul. PM Modi called it a special occasion as this year marks Mahatma Gandhi's 150th birth anniversary. South Korean President Moon Jae-in, First Lady Kim Jung-sook and former UN Secretary-General Ban Ki-moon also took part in the unveiling ceremony. ",pm modi unveil bust mahatma gandhi south korea prime minister narendra modi thursday unveil bust mahatma gandhi yonsei university south korean capital seoul pm modi call special occasion year mark mahatma gandhis th birth anniversary south korean president moon jae first lady kim jung sook former un secretary general ban ki moon also take part unveiling ceremony
Not opposed to Masood Azhar's name in UN terror list: Saudi,"Saudi Arabia's MoS Foreign Affairs Adel bin Ahmed Al-Jubeir on Wednesday said that ""anyone who supports and finances terrorism must be designated and punished"". He also said the Pakistan-Saudi Arabia joint statement should not be politicised and was not directed against India's efforts at the United Nations to list Jaish-e-Mohammed (JeM) chief Masood Azhar as a ""global terrorist"".",world,"Not opposed to Masood Azhar's name in UN terror list: Saudi. Saudi Arabia's MoS Foreign Affairs Adel bin Ahmed Al-Jubeir on Wednesday said that ""anyone who supports and finances terrorism must be designated and punished"". He also said the Pakistan-Saudi Arabia joint statement should not be politicised and was not directed against India's efforts at the United Nations to list Jaish-e-Mohammed (JeM) chief Masood Azhar as a ""global terrorist"".",not oppose masood azhar name un terror list saudi saudi arabias mo foreign affair adel bin ahmed al jubeir wednesday say anyone support finance terrorism must designate punish also say pakistan saudi arabia joint statement not politicise not direct indias effort united nation list jaish e mohammed jem chief masood azhar global terrorist
Pak gifted a gold-plated gun to Saudi Crown Prince during his visit,"Saudi Arabia's Crown Prince Mohammed bin Salman received a gold-plated gun as a gift from a delegation of Pakistani senators during his diplomatic visit to the country earlier this week. The German-made Heckler & Koch MP5 is a submachine gun, which was modified with an elaborate pattern on the gold plate. Salman was also gifted a portrait of himself.",world,"Pak gifted a gold-plated gun to Saudi Crown Prince during his visit. Saudi Arabia's Crown Prince Mohammed bin Salman received a gold-plated gun as a gift from a delegation of Pakistani senators during his diplomatic visit to the country earlier this week. The German-made Heckler & Koch MP5 is a submachine gun, which was modified with an elaborate pattern on the gold plate. Salman was also gifted a portrait of himself.",pak gift gold plat gun saudi crown prince visit saudi arabias crown prince mohamm bin salman receive gold plat gun gift delegation pakistani senator diplomatic visit country earlier week german make heckler koch mp submachine gun modify elaborate pattern gold plate salman also gift portrait
UK teen who joined ISIS will not be allowed here: Bangladesh,"Bangladesh has said British teenager Shamima Begum, who joined ISIS when aged 15, is not a Bangladeshi citizen and there is ""no question"" of her being allowed into the country. This comes after UK Home Secretary said he would strip Shamima of her UK citizenship and suggested her to apply for Bangladesh citizenship as her parents are of Bangladeshi origin.",world,"UK teen who joined ISIS will not be allowed here: Bangladesh. Bangladesh has said British teenager Shamima Begum, who joined ISIS when aged 15, is not a Bangladeshi citizen and there is ""no question"" of her being allowed into the country. This comes after UK Home Secretary said he would strip Shamima of her UK citizenship and suggested her to apply for Bangladesh citizenship as her parents are of Bangladeshi origin.",uk teen join isis not allow bangladesh bangladesh say british teenager shamima begum join isis age not bangladeshi citizen no question allow country come uk home secretary say would strip shamima uk citizenship suggest apply bangladesh citizenship parent bangladeshi origin
